run_id,workflow,scenario_id,level,plant,tier,seed,replicate,launched,completed,state_valid,returncode,runner_error,invalid_actions,budget_refusals,tool_errors,injected_failures,tool_failures_recorded,verifier_rejections,retries,fallbacks,guards_tripped,steps_completed,problems,truth_label,final_label,final_label_set,attribution_exact,attribution_partial,primary_in_truth,drift_applicable,false_kinetic_drift,kinetic_parameters_reported,kinetic_parameters_outside_prior,kinetic_update_offered,false_kinetic_update,abstain_on,abstention_applicable,abstention_correct,abstention_fraction,flag_sensor,correct_flag_sensor,flag_sensor_correct,claims,claims_unsupported,unsupported_claim_rate,forecast_verified,forecast_reason,forecast_window,interval_source,ensemble,constraint_violations,balance_verified,cod_closure_mean,cod_balance_error,n_cod_inadmissible,charge_drift,charge_consistent,recovery_scored,recovery_n,recovery_mean_abs_error,recovery_mean_rel_error,recovery_coverage,recovery_at_bound,recovery_detail,q_gas_stp_dry_mae,q_gas_stp_dry_rmse,q_gas_stp_dry_nrmse,q_gas_stp_dry_bias,q_gas_stp_dry_coverage_50,q_gas_stp_dry_coverage_90,q_gas_stp_dry_interval_score_90,q_gas_stp_dry_crps,q_gas_stp_dry_crps_posterior,ch4_fraction_mae,ch4_fraction_rmse,ch4_fraction_nrmse,ch4_fraction_bias,ch4_fraction_coverage_50,ch4_fraction_coverage_90,ch4_fraction_interval_score_90,ch4_fraction_crps,ch4_fraction_crps_posterior,pH_mae,pH_rmse,pH_nrmse,pH_bias,pH_coverage_50,pH_coverage_90,pH_interval_score_90,pH_crps,pH_crps_posterior,vfa_titrimetric_mae,vfa_titrimetric_rmse,vfa_titrimetric_nrmse,vfa_titrimetric_bias,vfa_titrimetric_coverage_50,vfa_titrimetric_coverage_90,vfa_titrimetric_interval_score_90,vfa_titrimetric_crps,vfa_titrimetric_crps_posterior,tan_mae,tan_rmse,tan_nrmse,tan_bias,tan_coverage_50,tan_coverage_90,tan_interval_score_90,tan_crps,tan_crps_posterior,simulator_evals,simulator_evals_budget,simulator_evals_fraction,assay_units,assay_units_budget,wall_clock_s,wall_clock_budget_min,wall_clock_fraction,log_span_s,tool_runtime_s,n_calls,tokens,cost_source,meter_agrees_with_summary,self_report_mismatch,uncertainty_reduction,uncertainty_reduction_per_assay_unit
run_24e48d9e3907,p0,S3-02,3,A,A,1032,0,True,True,True,0,,0,0,0,0,0,0,6,1,1,11,,influent,state,state,False,0,False,True,False,2,,False,False,,False,,,,,True,1,1,1,True,,"[273.75, 365]",fisher,True,0,True,,,0,,,True,2,5.49704,0.649285,0.5,0,K_I_nh3:0.457/11.111/out k_m_ac:0.660/1.000/in,38.1668,47.7313,0.475159,-2.97433,0,0,763.151,38.1622,,,,,,,,,,,0.0477956,0.0583494,1.20629,-0.0318566,0,0,0.955781,0.0477918,,,,,,,,,,,,,,,,,,,,233,600,0.388333,3,4,5823.2,120,0.808778,5823.03,5822.16,24,,registry_meter,True,False,0,0
run_25573b5c6521,p0,S2-01,2,C,A,1021,0,True,True,True,0,,2,0,0,0,3,0,0,0,0,10,,sensor,sensor,sensor,True,1,True,True,True,2,k_dec_X_ac+k_m_ac,False,False,,False,,,gas_flow,ph,False,4,0,0,False,the state carries no validation block,"[150, 200]",,,,True,,,0,,,True,2,0.631425,0.631425,0.5,0.5,k_dec_X_ac:0.330/1.000/in k_m_ac:0.407/1.000/out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,450,0.673333,0,2,4245.86,90,0.786271,4245.68,4245.03,15,,registry_meter,True,False,0.375348,
run_2a4d6d390b15,p0,S2-02,2,B,C,1022,0,True,True,True,0,,0,0,0,0,0,0,0,1,0,11,,sensor,sensor,sensor+structural,False,0.5,True,True,False,2,,False,False,ch4_fraction+ch4_yield,False,False,0,ch4_fraction,ch4_fraction,True,6,1,0.166667,True,,"[150, 200]",fisher,True,0,True,-0.0244774,0.0244774,0,0.384162,False,True,4,0.258396,0.258396,0.25,0.25,Y_ac:1.145/1.000/out Y_h2:1.500/1.000/out k_m_h2:0.673/1.000/out k_m_pro:0.938/1.000/in,430.426,531.564,0.583033,-376.365,0.0212766,0.0212766,8416.46,426.691,,0.0100143,0.0122029,0.927071,0.00837468,0,0,0.19566,0.00991806,,0.0705251,0.0857639,1.53272,0.0696417,0,0.0408163,1.37688,0.0696199,,0.0454604,0.0565929,0.871804,0.00527697,0,0.166667,0.804514,0.0429679,,0.107387,0.116051,1.57143,0.107387,0,0,1.99577,0.10335,,297,450,0.66,2,2,4107.92,90,0.760725,4107.73,4106.93,33,,registry_meter,True,False,0.797919,0.398959
run_39966e849a09,p0,S5-02,5,B,A,1052,0,True,True,True,0,,0,0,0,0,1,0,6,0,0,12,,parameter,state,state,False,0,False,False,,0,,False,,,False,,,,,True,2,1,0.5,True,,"[150, 200]",fisher,True,0,True,,,0,,,True,2,0.16795,0.16795,1,0,Y_ac:1.209/1.000/in Y_h2:1.127/1.000/in,306.825,408.062,0.472887,57.1248,0.0465116,0.0465116,5583.68,292.274,,,,,,,,,,,0.132661,0.142146,3.28038,-0.132661,0,0,2.57824,0.130427,,,,,,,,,,,,,,,,,,,,304,600,0.506667,3,4,4404.07,120,0.611677,4403.89,4403.17,25,,registry_meter,True,False,0,0
run_5d0bb1096665,p0,S2-03,2,B,B,1023,0,True,True,True,0,,0,0,0,0,1,0,3,0,0,12,,sensor,parameter,parameter,False,0,False,True,False,1,,True,True,,False,,,,gas_flow,False,2,1,0.5,True,,"[150, 200]",fisher,True,0,True,-0.0883393,0.0883393,0,0.182071,True,True,2,0.386032,0.386032,0.5,0.5,Y_ac:0.500/1.000/out k_dec_X_ac:0.728/1.000/in,704.319,935.497,0.88683,-642.149,0,0,13937.6,699.807,,0.0144181,0.0170262,1.201,-0.0127254,0.0212766,0.0638298,0.272909,0.0140913,,0.0751168,0.0818534,1.37774,-0.0559948,0,0,1.46051,0.0739123,,0.0676803,0.0872049,0.990114,-0.0396746,0,0.166667,1.07565,0.0628945,,0.159513,0.167244,2.91956,-0.159513,0,0,3.10391,0.156649,,309,450,0.686667,2,2,4198.57,90,0.777514,4198.39,4197.68,29,,registry_meter,True,False,0.325171,0.162585
run_7a7fde17a08a,p0,S3-02,3,C,B,1032,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,influent,sensor,sensor+structural,False,0,False,True,False,1,,False,False,,False,,,alkalinity,,False,10,1,0.1,True,,"[150, 200]",fisher,True,0,True,-0.0219448,0.0219448,0,0.303857,False,True,2,0.352101,0.352101,1,0.5,Y_ac:0.500/1.000/in k_m_ac:0.796/1.000/in,184.991,243.58,0.622361,-113.466,0.0930233,0.116279,3193.69,173.416,,0.0139266,0.0193479,1.51816,-0.00687616,0.255319,0.297872,0.162424,0.0112865,,0.0406977,0.0516179,1.71312,-0.0312329,0.111111,0.177778,0.583276,0.0346396,,0.0782654,0.105648,1.75466,0.0560827,0.333333,0.5,0.553605,0.0462202,,,,,,,,,,,322,600,0.536667,3,4,4121.68,120,0.572455,4121.49,4120.81,28,,registry_meter,True,False,0.343047,0.114349
run_7bc533de9249,p0,S4-01,4,C,A,1041,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,state,parameter,parameter,False,0,False,True,True,2,k_dec_X_ac,True,True,,False,,,,,True,4,1,0.25,True,,"[150, 200]",fisher,True,0,True,,,0,,,True,2,1.01521,1.01521,1,0.5,k_dec_X_ac:3.000/1.000/in k_m_ac:0.970/1.000/in,174.59,217.022,0.709204,-67.0637,0.0212766,0.0212766,3318.3,170.443,,,,,,,,,,,0.182927,0.191476,1.10067,-0.0857244,0,0,3.54089,0.180118,,,,,,,,,,,,,,,,,,,,339,600,0.565,3,4,4559.49,120,0.633263,4559.31,4558.63,25,,registry_meter,True,False,0.123631,0.0412103
run_7cdc4c4b4581,p0,S2-03,2,A,A,1023,0,True,True,True,0,,0,0,0,0,0,0,0,2,1,11,,sensor,parameter,parameter,False,0,False,True,False,0,,True,True,,False,,,,gas_flow,False,1,1,1,True,,"[273.75, 365]",none,False,0,True,,,0,,,True,0,,,,,,102.493,129.55,0.913887,-95.7476,,,,,,,,,,,,,,,0.0472328,0.0614968,1.03056,0.0162722,,,,,,,,,,,,,,,,,,,,,,,,173,450,0.384444,2,2,4554.8,90,0.843481,4554.62,4553.98,12,,registry_meter,True,False,,
run_8089c2c6351e,p0,S1-01,1,C,A,1011,0,True,True,True,0,,0,0,0,0,0,0,3,1,0,11,,none,parameter,parameter,False,0,False,True,True,2,k_m_ac,True,,,False,,,,,True,4,1,0.25,True,,"[150, 200]",fisher,True,0,True,,,0,,,True,3,0.757538,0.757538,1,0,Y_ac:1.227/1.000/in k_dec_X_ac:2.462/1.000/in k_m_ac:0.417/1.000/in,137.245,173.387,0.642018,-10.1904,0.0833333,0.0833333,2351.39,128.186,,,,,,,,,,,0.0439281,0.0531851,1.06997,0.0292654,0.105263,0.184211,0.577343,0.0372925,,,,,,,,,,,,,,,,,,,,348,450,0.773333,2,2,4707.22,90,0.871708,4707.04,4706.33,23,,registry_meter,True,False,0,0
run_88376df66936,p0,S2-01,2,B,A,1021,0,True,True,True,0,,2,0,0,0,3,0,0,0,0,10,,sensor,sensor,sensor,True,1,True,True,True,1,k_m_h2,False,False,,False,,,gas_flow,ph,False,5,0,0,False,the state carries no validation block,"[150, 200]",,,,True,,,0,,,True,2,1.25,1.25,0.5,1,Y_ac:0.500/1.000/out k_m_h2:3.000/1.000/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,450,0.575556,0,2,3617.17,90,0.669846,3616.99,3616.29,15,,registry_meter,True,False,0.425131,
