run_id,workflow,scenario_id,level,plant,tier,seed,replicate,launched,completed,state_valid,returncode,runner_error,invalid_actions,budget_refusals,tool_errors,injected_failures,tool_failures_recorded,verifier_rejections,retries,fallbacks,guards_tripped,steps_completed,problems,truth_label,final_label,final_label_set,attribution_exact,attribution_partial,primary_in_truth,drift_applicable,false_kinetic_drift,kinetic_parameters_reported,kinetic_parameters_outside_prior,kinetic_update_offered,false_kinetic_update,abstain_on,abstention_applicable,abstention_correct,abstention_fraction,flag_sensor,correct_flag_sensor,flag_sensor_correct,claims,claims_unsupported,unsupported_claim_rate,forecast_verified,forecast_reason,forecast_window,interval_source,ensemble,constraint_violations,balance_verified,cod_closure_mean,cod_balance_error,n_cod_inadmissible,charge_drift,charge_consistent,recovery_scored,recovery_n,recovery_mean_abs_error,recovery_mean_rel_error,recovery_coverage,recovery_at_bound,recovery_detail,q_gas_stp_dry_mae,q_gas_stp_dry_rmse,q_gas_stp_dry_nrmse,q_gas_stp_dry_bias,q_gas_stp_dry_coverage_50,q_gas_stp_dry_coverage_90,q_gas_stp_dry_interval_score_90,q_gas_stp_dry_crps,q_gas_stp_dry_crps_posterior,ch4_fraction_mae,ch4_fraction_rmse,ch4_fraction_nrmse,ch4_fraction_bias,ch4_fraction_coverage_50,ch4_fraction_coverage_90,ch4_fraction_interval_score_90,ch4_fraction_crps,ch4_fraction_crps_posterior,pH_mae,pH_rmse,pH_nrmse,pH_bias,pH_coverage_50,pH_coverage_90,pH_interval_score_90,pH_crps,pH_crps_posterior,vfa_titrimetric_mae,vfa_titrimetric_rmse,vfa_titrimetric_nrmse,vfa_titrimetric_bias,vfa_titrimetric_coverage_50,vfa_titrimetric_coverage_90,vfa_titrimetric_interval_score_90,vfa_titrimetric_crps,vfa_titrimetric_crps_posterior,tan_mae,tan_rmse,tan_nrmse,tan_bias,tan_coverage_50,tan_coverage_90,tan_interval_score_90,tan_crps,tan_crps_posterior,simulator_evals,simulator_evals_budget,simulator_evals_fraction,assay_units,assay_units_budget,wall_clock_s,wall_clock_budget_min,wall_clock_fraction,log_span_s,tool_runtime_s,n_calls,tokens,cost_source,meter_agrees_with_summary,self_report_mismatch,uncertainty_reduction,uncertainty_reduction_per_assay_unit
run_03a0a9aa9291,p0,S3-02,3,C,C,1032,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,influent,sensor,sensor,False,0,False,True,False,4,,False,False,,False,,,alkalinity,,False,15,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0281004,0.0281004,0,0.303983,False,True,4,0.152588,0.152588,0.25,0,K_S_pro:0.826/1.000/out k_m_ac:1.095/1.000/in k_m_c4:1.164/1.000/out k_m_h2:1.178/1.000/out,191.138,250.993,0.61828,-127.408,0,0,3817.83,191.012,,0.0125703,0.0153624,1.21784,-0.00983559,0,0,0.246586,0.012474,,0.0321242,0.0378441,1.23943,-0.024954,0,0,0.634808,0.0319592,,0.0664171,0.0712727,1.18373,-0.0552216,0,0,1.27548,0.0654005,,,,,,,,,,,359,600,0.598333,3,4,4660.27,120,0.64726,4660.09,4659.35,33,,registry_meter,True,False,0.886553,0.295518
run_08cd03f72b5e,p0,S5-02,5,B,B,1052,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,parameter,none,none,False,0,False,False,,1,,True,,,False,,,,,True,2,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0274015,0.0274015,1,0.342299,False,True,2,0.72203,0.72203,1,0,Y_ac:0.800/1.000/in k_dec_X_ac:2.244/1.000/in,353.92,468.387,0.42147,6.76587,0.0416667,0.0833333,6377.2,338.315,,0.00880842,0.0107447,0.853819,0.00126267,0.0222222,0.0444444,0.152664,0.00819846,,0.0848355,0.0908626,2.26672,-0.0848355,0.0212766,0.0212766,1.60624,0.0820526,,0.0958644,0.105432,1.55752,-0.0958644,0,0.285714,1.11958,0.0794421,,0.26458,0.27074,9.41832,-0.26458,0,0,4.84738,0.251391,,319,600,0.531667,3,4,4662.59,120,0.647582,4662.41,4661.64,30,,registry_meter,True,False,0.0592577,0.0197526
run_1354d1f71117,p0,S4-01,4,B,B,1041,0,True,True,True,0,,0,0,0,0,1,0,2,0,0,12,,state,none,none,False,0,False,True,False,1,,True,True,,False,,,,,True,4,0,0,True,,"[150, 200]",fisher,True,0,True,-0.0256653,0.0256653,0,0.346422,False,True,2,0.312088,0.312088,0.5,0.5,Y_ac:0.504/1.000/out k_dec_X_ac:0.872/1.000/in,307.521,383.804,0.470026,146.95,0,0,5965.74,302.721,,0.0122211,0.0152582,0.855249,0.00590114,0.0666667,0.0666667,0.22696,0.0117142,,0.0908845,0.120257,1.56638,-0.0860306,0.0232558,0.0232558,1.7804,0.0898466,,0.0670587,0.0886917,0.999721,-0.062043,0.142857,0.142857,1.1295,0.0626916,,0.13967,0.152251,2.04782,-0.13967,0,0,2.723,0.138424,,335,600,0.558333,3,4,5272.18,120,0.732247,5272,5271.32,30,,registry_meter,True,False,0.4609,0.153633
run_135d431a53a7,p0,S4-01,4,B,C,1041,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,state,none,none,False,0,False,True,False,2,,True,True,,False,,,,,True,3,0,0,True,,"[150, 200]",fisher,True,0,True,-0.033557,0.033557,0,0.347224,False,True,4,0.240712,0.240712,0.5,0.25,Y_ac:0.874/1.000/out Y_h2:1.500/1.000/in k_m_h2:0.691/1.000/out k_m_pro:0.971/1.000/in,351.775,528.189,0.598,15.0001,0,0,6822.91,346.87,,0.0113997,0.0141758,0.817294,0.0060283,0,0.0208333,0.221543,0.0112607,,0.0926197,0.120509,1.57445,-0.0907474,0,0.0434783,1.76232,0.0910297,,0.129352,0.145034,1.6348,-0.129352,0,0,2.44617,0.12612,,0.195553,0.204171,2.7337,-0.195553,0,0,3.56355,0.18971,,368,600,0.613333,3,4,5325.49,120,0.739651,5325.3,5324.5,37,,registry_meter,True,False,0.747817,0.249272
run_13ad8a1b5967,p0,S3-01,3,B,B,1031,0,True,True,True,0,,0,0,0,0,1,0,2,0,0,12,,influent,none,none,False,0,False,True,True,1,k_dec_X_ac,True,True,,False,,,,,True,2,0,0,True,,"[150, 200]",fisher,True,0,True,0.0334302,0.0334302,0,0.246334,False,True,3,0.520477,0.520477,1,0.666667,Y_ac:1.499/1.000/in Y_h2:1.498/1.000/in k_dec_X_ac:0.436/1.000/in,397.37,504.551,0.44993,122.999,0.0638298,0.0638298,7408.99,385.088,,0.021033,0.0249905,1.34984,0.0200787,0.0212766,0.0425532,0.39803,0.0204529,,0.0252235,0.0311763,0.931266,0.00631665,0.104167,0.208333,0.386727,0.0227124,,0.0521169,0.0552056,0.751575,0.0101838,0.5,0.666667,0.254934,0.0346965,,0.0442963,0.0584753,0.57102,-0.00253666,0.285714,0.571429,0.483015,0.0363309,,330,600,0.55,3,4,4532.37,120,0.629496,4532.19,4531.48,30,,registry_meter,True,False,0,0
run_13ba3147ca82,p0,S0-01,0,B,A,1001,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,none,none,none,True,1,True,True,False,0,,True,,,False,,,,,True,1,0,0,True,,"[150, 200]",fisher,True,0,True,,,0,,,True,2,0.5,0.5,0.5,1,Y_ac:0.500/1.000/out Y_h2:0.500/1.000/in,388.068,474.679,0.555094,-109.345,0.0212766,0.0425532,7267,376.352,,,,,,,,,,,0.067415,0.0732486,1.99263,0.0665798,0,0.0454545,1.20533,0.0647007,,,,,,,,,,,,,,,,,,,,271,450,0.602222,2,2,4308.99,90,0.797961,4308.81,4308.13,24,,registry_meter,True,False,0.466346,0.233173
run_1befece5d64c,p0,S3-03,3,B,B,1033,0,True,True,True,0,,0,0,0,0,1,0,1,0,0,12,,influent,none,none,False,0,False,True,True,1,k_dec_X_ac,True,True,,False,,,,,True,3,0,0,True,,"[150, 200]",fisher,True,0,True,-0.00869811,0.00869811,0,0.232565,False,True,2,0.585,0.585,1,1,Y_ac:1.500/1.000/in k_dec_X_ac:0.330/1.000/in,312.957,428.868,0.740672,268.537,0.0444444,0.0444444,5860.97,305.201,,0.0105867,0.0134207,0.683225,0.00656208,0.0212766,0.0638298,0.202245,0.0103644,,0.0316372,0.0389233,1.06498,-0.0144391,0.0612245,0.163265,0.534898,0.0292613,,0.0528204,0.0599578,0.919203,-0.00658335,0.2,0.2,0.715992,0.0448122,,0.0359311,0.0387838,1.25041,0.034846,0.142857,0.428571,0.149217,0.0271477,,306,600,0.51,3,4,4221.74,120,0.586353,4221.56,4220.82,30,,registry_meter,True,False,0,0
run_24e48d9e3907,p0,S3-02,3,A,A,1032,0,True,True,True,0,,0,0,0,0,0,0,6,1,1,11,,influent,state,state,False,0,False,True,False,2,,False,False,,False,,,,,True,1,1,1,True,,"[273.75, 365]",fisher,True,0,True,,,0,,,True,2,5.49704,0.649285,0.5,0,K_I_nh3:0.457/11.111/out k_m_ac:0.660/1.000/in,38.1668,47.7313,0.475159,-2.97433,0,0,763.151,38.1622,,,,,,,,,,,0.0477956,0.0583494,1.20629,-0.0318566,0,0,0.955781,0.0477918,,,,,,,,,,,,,,,,,,,,233,600,0.388333,3,4,5823.2,120,0.808778,5823.03,5822.16,24,,registry_meter,True,False,0,0
run_29923b672b97,p0,S5-02,5,A,A,1052,0,True,True,True,0,,0,0,0,0,0,0,6,1,0,11,,parameter,none,none,False,0,False,False,,2,K_I_nh3,True,,,False,,,,,True,0,0,,True,,"[273.75, 365]",fisher,True,0,True,,,0,,,True,2,5.6407,0.749866,0.5,0,K_I_nh3:0.362/11.111/out k_m_ac:0.468/1.000/in,51.249,71.7586,0.580563,-8.73302,0,0,1024.74,51.243,,,,,,,,,,,0.0715067,0.0810112,1.8467,0.0682792,0,0,1.42989,0.0715016,,,,,,,,,,,,,,,,,,,,239,600,0.398333,3,4,5923.95,120,0.822771,5923.77,5923.02,24,,registry_meter,True,False,0,0
run_2b6e2d4b3933,p0,S3-03,3,B,A,1033,0,True,True,True,0,,0,0,0,0,1,0,0,0,0,12,,influent,none,none,False,0,False,True,True,1,k_m_h2,True,True,,False,,,,,True,1,0,0,True,,"[150, 200]",fisher,True,0,True,,,0,,,True,2,0.585,0.585,0.5,1,Y_ac:1.500/1.000/out k_m_h2:0.330/1.000/in,312.264,426.66,0.73263,264.433,0.0227273,0.0227273,6068.56,307.727,,,,,,,,,,,0.0529402,0.0653218,1.19942,0.0279273,0.0434783,0.0434783,1.00094,0.0514614,,,,,,,,,,,,,,,,,,,,269,600,0.448333,3,4,3573.6,120,0.496333,3573.42,3572.73,25,,registry_meter,True,False,0.579571,0.19319
